Blk,trt,DFF,NPB,NSB,TW,SY
1,C1,102.00,6.20,12.80,11.57,10.40
1,C2,104.00,7.00,12.60,10.94,13.20
1,C3,94.00,4.20,8.60,4.91,2.60
1,V1,101.00,7.40,15.20,11.95,14.80
1,V2,96.00,4.20,5.80,8.16,9.00
1,V3,103.00,6.00,12.00,12.64,9.40
1,V4,78.00,4.20,5.00,8.47,5.80
1,V5,104.00,7.80,11.40,10.10,4.20
1,V6,85.00,4.20,10.80,9.57,4.20
1,V7,100.00,7.00,10.00,11.08,12.20
1,V8,96.00,8.20,10.20,8.05,10.40
1,V9,89.00,4.60,8.80,11.56,26.80
1,V10,94.00,5.00,10.40,10.92,3.20
1,V11,94.00,4.20,8.60,13.83,10.80
1,V12,98.00,4.00,6.40,11.55,4.00
1,V13,104.00,6.40,8.60,10.89,6.40
1,V14,97.00,5.00,8.00,8.16,8.00
1,V15,89.00,6.00,10.40,13.74,15.60
2,C1,100.00,6.40,11.60,11.14,9.60
2,C2,104.00,5.00,3.40,9.94,3.40
2,C3,88.00,4.80,5.00,9.70,3.60
2,V16,97.00,5.80,8.20,12.12,8.20
2,V17,98.00,7.40,15.60,12.93,14.60
2,V18,89.00,5.60,10.00,10.26,8.80
2,V19,96.00,4.60,8.80,8.58,5.80
2,V20,97.00,7.00,15.00,9.30,16.20
2,V21,88.00,5.20,11.00,9.76,5.20
2,V22,94.00,6.40,10.40,12.80,16.80
2,V23,92.00,7.00,11.80,10.72,5.00
2,V24,88.00,4.80,9.60,9.87,8.60
2,V25,93.00,7.20,14.40,8.16,11.00
2,V26,90.00,7.00,12.20,12.17,15.40
2,V27,95.00,4.80,7.20,10.43,3.60
2,V28,90.00,5.20,9.80,8.47,9.80
2,V29,98.00,7.60,10.80,9.86,15.80
2,V30,90.00,5.20,7.00,12.44,10.00
3,C1,99.00,6.00,6.00,11.51,5.20
3,C2,99.00,5.80,8.40,9.19,4.60
3,C3,91.00,6.00,5.20,9.33,2.40
3,V31,99.00,7.60,8.40,10.25,10.60
3,V32,99.00,7.40,10.00,10.34,7.80
3,V33,92.00,5.60,7.40,9.29,5.40
3,V34,95.00,7.00,12.40,10.50,8.60
3,V35,96.00,5.80,7.20,11.02,11.20
3,V36,99.00,6.20,9.80,8.97,9.40
3,V37,95.00,6.40,13.60,11.12,5.20
3,V38,101.00,5.80,9.00,9.67,4.80
3,V39,96.00,7.60,12.20,10.11,6.60
3,V40,95.00,5.80,9.20,8.81,8.60
3,V41,98.00,7.20,14.80,13.84,15.60
3,V42,97.00,7.00,11.20,8.61,8.40
3,V43,98.00,5.80,6.00,10.82,6.40
3,V44,99.00,5.80,9.80,13.67,5.60
3,V45,96.00,6.00,8.00,10.05,7.20
4,C1,100.00,5.60,7.40,10.61,12.60
4,C2,100.00,5.60,11.80,7.03,6.40
4,C3,91.00,5.40,6.60,8.58,4.00
4,V46,94.00,5.60,14.80,11.78,9.40
4,V47,95.00,5.40,6.80,10.25,5.00
4,V48,96.00,6.60,11.60,11.51,5.00
4,V49,98.00,5.60,4.60,7.59,6.80
4,V50,98.00,4.60,8.40,9.47,5.40
4,V51,95.00,4.40,5.40,8.40,2.60
4,V52,94.00,5.80,11.00,10.33,4.60
4,V53,96.00,5.80,8.20,10.14,7.40
4,V54,96.00,5.40,6.40,11.79,3.40
4,V55,96.00,6.40,13.00,10.09,8.40
4,V56,96.00,6.40,6.20,10.42,9.60
4,V57,98.00,6.00,6.80,7.66,10.60
4,V58,97.00,6.20,14.60,10.41,4.80
4,V59,94.00,5.80,11.80,11.63,5.00
4,V60,99.00,6.20,16.20,9.38,5.00
5,C1,98.00,4.80,3.20,9.74,10.80
5,C2,99.00,4.80,5.20,9.31,4.80
5,C3,91.00,5.20,6.40,8.36,2.80
5,V61,95.00,5.20,7.80,9.48,17.40
5,V62,96.00,5.60,6.40,10.06,7.60
5,V63,94.00,5.60,10.20,8.72,4.60
5,V64,100.00,6.00,9.00,9.14,7.00
5,V65,96.00,6.00,2.80,10.67,5.20
5,V66,98.00,4.80,4.00,12.33,5.80
5,V67,101.00,5.20,5.80,9.97,6.00
5,V68,103.00,5.00,6.40,10.57,7.20
5,V69,96.00,6.20,7.40,9.16,3.00
5,V70,97.00,6.20,8.20,9.12,6.20
5,V71,96.00,5.80,8.80,9.51,5.00
5,V72,94.00,5.20,6.80,9.48,9.00
5,V73,94.00,5.60,2.60,10.82,3.00
5,V74,90.00,5.40,8.00,10.02,7.40
5,V75,92.00,5.40,7.40,9.73,4.40
6,C1,98.00,4.80,6.00,10.37,10.60
6,C2,99.00,4.80,6.40,9.99,4.80
6,C3,88.00,5.40,4.80,8.82,2.20
6,V76,94.00,5.00,9.80,9.18,5.20
6,V77,93.00,5.20,6.80,9.37,3.20
6,V78,88.00,4.60,8.00,7.49,6.00
6,V79,101.00,5.80,7.20,10.88,7.20
6,V80,94.00,5.80,9.20,8.44,6.80
6,V81,93.00,5.80,10.20,13.86,19.20
6,V82,93.00,5.60,7.20,9.43,7.80
6,V83,95.00,5.40,5.60,13.43,12.60
6,V84,88.00,4.20,7.20,11.30,7.20
6,V85,96.00,4.40,7.80,14.43,5.20
6,V86,96.00,5.00,5.40,13.01,7.60
6,V87,98.00,4.20,5.80,11.30,4.00
6,V88,100.00,4.80,7.00,10.32,13.40
6,V89,99.00,5.00,6.60,10.79,6.20
6,V90,98.00,6.20,9.20,8.71,17.20
